ZAWODNIK,KLUB,POZYCJA,MIN,MECZE,OSTATNI GOL,PRZECIW
Grzegorz Baran,Sandecja Nowy Sącz,pomocnik,6359,83,22.04.2012,Zagłębie
Mateusz Kupczak,Bruk-Bet Termalica,pomocnik,6190,69,24.07.2016,Cracovia
Rafał Grzyb,Jagiellonia Białystok,pomocnik,3749,50,23.07.2016,Ruch
Daniel Łukasik,Lechia Gdańsk,pomocnik,3592,48,16.08.2015,Wisła K.
Jakub Żubrowski,Korona Kielce,pomocnik,3396,38,19.03.2017,Cracovia
Bartłomiej Kasprzak,Sandecja Nowy Sącz,pomocnik,3283,42,30.11.2013,Korona
Pol Llonch,Wisła Kraków,pomocnik,3223,40,-,-
Sito Riera,Śląsk Wrocław,pomocnik,3068,45,-,-
Michał Kopczyński,Legia Warszawa,pomocnik,2956,53,-,-
Maksymilian Rogalski,Wisła Płock,pomocnik,2617,34,25.04.2015,Górnik Z.
Marcin Listkowski,Pogoń Szczecin,napastnik,2495,63,-,-
Adam Matuszczyk,Zagłębie Lubin,pomocnik,2232,28,-,-
Szymon Drewniak,Cracovia,pomocnik,2202,28,15.04.2017,Śląsk
Dominik Furman,Wisła Płock,pomocnik,2061,25,25.09.2017,Cracovia
Kamil Vacek,Śląsk Wrocław,pomocnik,1998,32,11.03.2016,Podbeskidzie
Ariel Borysiuk,Lechia Gdańsk,pomocnik,1910,24,25.02.2017,Cracovia
Michał Nalepa,Arka Gdynia,pomocnik,1842,26,16.07.2017,Śląsk
Marcus Vinicius,Arka Gdynia,pomocnik,1716,27,05.12.2016,Ruch
Martin Miković,Bruk-Bet Termalica,pomocnik,1694,24,04.06.2017,Wisła K.
Filip Jagiełło,Zagłębie Lubin,pomocnik,1651,21,20.10.2017,Piast
Maciej Ambrosiewicz,Górnik Zabrze,pomocnik,1615,23,-,-
Mihai Radut,Lech Poznań,pomocnik,1582,26,07.05.2017,Bruk-Bet
Krzysztof Mączyński,Legia Warszawa,pomocnik,1535,21,11.08.2017,Piast
Patryk Dziczek,Piast Gliwice,pomocnik,1529,20,04.08.2017,Śląsk
