ZAWODNIK,KLUB,POZYCJA,MIN,MECZE,OSTATNI GOL,PRZECIW
Damian Rasak,Wisła Płock,pomocnik,5997,83,-,-
Damian Dąbrowski,Pogoń Szczecin,pomocnik,3960,57,08.05.2017,Arka
Michał Kopczyński,Arka Gdynia,pomocnik,3828,64,-,-
Maciej Ambrosiewicz,Wisła Płock,pomocnik,3790,67,-,-
Tomasz Makowski,Lechia Gdańsk,pomocnik,3674,50,-,-
Ognjen Gnjatić,Korona Kielce,pomocnik,3099,39,-,-
Dragoljub Srnić,ŁKS Łódź,pomocnik,3041,50,-,-
Andre Martins,Legia Warszawa,pomocnik,2856,38,03.04.2019,Jagiellonia
Patryk Sokołowski,Piast Gliwice,pomocnik,2736,44,02.11.2018,Wisła K.
Rafał Boguski,Wisła Kraków,pomocnik,2626,38,10.11.2018,Zagłębie L.
Sebastian Kowalczyk,Pogoń Szczecin,pomocnik,2247,26,29.09.2019,Jagiellonia
Mateusz Matras,Górnik Zabrze,pomocnik,2194,31,02.04.2019,Zagłębie L.
Jarosław Kubicki,Lechia Gdańsk,pomocnik,2167,27,19.05.2019,Jagiellonia
Jakub Żubrowski,Korona Kielce,pomocnik,2162,25,02.08.2019,Arka
Martin Kostal,Jagiellonia Białystok,pomocnik,1891,37,21.10.2018,Legia
Patryk Kun,Raków Częstochowa,pomocnik,1875,29,17.02.2018,Wisła K.
Sylwester Lusiusz,Cracovia,pomocnik,1843,28,-,-
Bartosz Slisz,Legia Warszawa,pomocnik,1686,21,21.09.2019,Śląsk
Karlo Muhar,Lech Poznań,pomocnik,1684,23,24.08.2019,Raków
Damian Gąska,Śląsk Wrocław,pomocnik,1649,47,-,-
Milan Dimun,Cracovia,pomocnik,1628,29,05.05.2019,Lechia
Marko Poletanović,Raków Częstochowa,pomocnik,1569,30,08.12.2018,Wisła K.
Milan Radin,Korona Kielce,pomocnik,1487,22,27.09.2019,Śląsk
Rusłan Babenko,Raków Częstochowa,pomocnik,1382,22,-,-
Fabian Serrarens,Arka Gdynia,napastnik,1368,19,-,-
Diego Zivulic,Śląsk Wrocław,pomocnik,1344,19,-,-
Patryk Lipski,Lechia Gdańsk,pomocnik,1321,21,24.04.2019,Pogoń
Vullnet Basha,Wisła Kraków,pomocnik,1230,15,19.12.2019,ŁKS
Adam Deja,Arka Gdynia,pomocnik,1217,18,02.08.2019,Korona
Daniel Ściślak,Górnik Zabrze,pomocnik,1152,22,-,-
Maciej Wolski,ŁKS Łódź,pomocnik,1147,15,15.12.2019,Piast
Roman Prochazka,Górnik Zabrze,pomocnik,1146,14,-,-
Michał Mak,Wisła Kraków,pomocnik,1135,16,31.08.2019,Zagłębie L.
Nabil Aankour,Arka Gdynia,pomocnik,1100,18,26.11.2018,Wisła K.
Tymoteusz Puchacz,Lech Poznań,pomocnik,1083,14,08.02.2020,Raków
Jesus Imaz,Jagiellonia Białystok,pomocnik,1060,16,15.12.2019,Lechia
David Kopacz,Górnik Zabrze,pomocnik,1044,24,-,-
Jakub Tosik,Zagłębie Lubin,pomocnik,1037,18,25.10.2019,Lech
Jean Carlos Silva,Wisła Kraków,pomocnik,1036,17,-,-
Filip Bainović,Górnik Zabrze,pomocnik,1017,20,-,-
Jakub Wróbel,ŁKS Łódź,napastnik,993,26,-,-
Giorgi Merebaszwili,Wisła Płock,pomocnik,987,15,21.12.2019,Piast
Gieorgij Żukow,Wisła Kraków,pomocnik,986,13,-,-
Adam Ratajczyk,ŁKS Łódź,pomocnik,946,12,04.03.2020,Zagłębie L.
Mateusz Młyński,Arka Gdynia,pomocnik,941,12,22.02.2020,Raków
Dawit Schirtladze,Arka Gdynia,napastnik,893,15,21.09.2019,ŁKS
Juan Camara,Jagiellonia Białystok,pomocnik,888,16,04.10.2019,Śląsk
Krzysztof Drzazga,Wisła Kraków,napastnik,877,17,25.04.2019,Zagłębie S.
Domagoj Antolić,Legia Warszawa,pomocnik,854,9,08.03.2020,Piast
Kamil Antonik,Arka Gdynia,pomocnik,819,18,-,-
Kristopher Vida,Piast Gliwice,pomocnik,791,12,-,-
Florian Loshaj,Cracovia,pomocnik,782,12,-,-
Maciej Makuszewski,Jagiellonia Białystok,pomocnik,766,10,03.03.2020,Pogoń
Damian Pawłowski,Wisła Kraków,pomocnik,753,10,-,-
Janusz Gol,Cracovia,pomocnik,751,9,08.12.2019,Raków
Jacek Kiełb,Korona Kielce,pomocnik,751,9,31.05.2020,Wisła P.
Erik Jirka,Górnik Zabrze,pomocnik,748,9,05.06.2020,Lechia
Daniel Bartl,Raków Częstochowa,pomocnik,743,11,28.02.2020,Piast
Dominik Furman,Wisła Płock,pomocnik,731,8,06.06.2020,Jagiellonia
Tymoteusz Klupś,Piast Gliwice,pomocnik,723,19,16.12.2018,Zagłębie S.
Kamil Zapolnik,Górnik Zabrze,pomocnik,720,13,25.08.2019,Korona
Szymon Matuszek,Górnik Zabrze,pomocnik,715,12,03.11.2019,Piast
Andres Lioi,Korona Kielce,pomocnik,702,13,-,-
Sebastian Milewski,Piast Gliwice,pomocnik,677,8,05.06.2020,Korona
Karol Angielski,Wisła Płock,napastnik,673,22,28.09.2018,Lechia
Ivan Fiolić,Cracovia,pomocnik,671,14,-,-
Jaroslav Mihalik,Lechia Gdańsk,pomocnik,667,11,07.03.2020,Zagłębie L.
Suad Sahiti,Wisła Płock,pomocnik,665,18,-,-
Nikola Kuveljić,Wisła Kraków,pomocnik,662,12,-,-
Paweł Wszołek,Legia Warszawa,pomocnik,661,7,10.06.2020,Arka
Rafał Wolski,Wisła Płock,pomocnik,659,13,04.08.2019,Wisła P.
Adam Ryczkowski,Górnik Zabrze,pomocnik,643,19,01.03.2015,Podbeskidzie
Kamil Wojtkowski,Wisła Kraków,pomocnik,638,8,08.02.2020,Jagiellonia
Jakub Arak,Lechia Gdańsk,napastnik,627,30,10.08.2018,Miedź
Martin Pospisil,Jagiellonia Białystok,pomocnik,623,7,10.06.2020,ŁKS
Paweł Cibicki,Pogoń Szczecin,napastnik,603,9,03.03.2020,Jagiellonia
Przemysław Oziębała,Raków Częstochowa,pomocnik,567,17,30.03.2014,Jagiellonia
Thiago,Cracovia,pomocnik,566,12,-,-
Michał Chrapek,Śląsk Wrocław,pomocnik,566,7,07.06.2020,Arka
Ricardo Guima,ŁKS Łódź,pomocnik,562,7,01.03.2020,Arka
Michalis Manias,Pogoń Szczecin,napastnik,560,14,-,-
Piotr Pyrdoł,Legia Warszawa,pomocnik,552,9,30.09.2019,Zagłębie L.
Ariel Borysiuk,Jagiellonia Białystok,pomocnik,542,10,03.03.2020,Pogoń
Zarko Udovicić,Lechia Gdańsk,pomocnik,539,6,31.08.2019,Piast
Tom Hateley,Piast Gliwice,pomocnik,516,6,14.06.2020,Jagiellonia
Robert Pich,Śląsk Wrocław,pomocnik,512,7,10.06.2020,Wisła P.
Lubomir Tupta,Wisła Kraków,napastnik,510,8,29.02.2020,Wisła P.
Igor Sapała,Raków Częstochowa,pomocnik,507,6,20.06.2020,Wisła K.
Michal Papadopulos,Korona Kielce,napastnik,506,8,01.03.2020,Lechia
Chuca,Wisła Kraków,pomocnik,506,10,06.12.2019,Górnik Z.
Patryk Szysz,Zagłębie Lubin,napastnik,502,11,01.03.2020,Śląsk
Bartosz Kwiecień,Jagiellonia Białystok,pomocnik,490,7,03.11.2019,ŁKS
Maciej Żurawski,Pogoń Szczecin,pomocnik,487,10,-,-
Łukasz Wolsztyński,Górnik Zabrze,napastnik,481,8,06.12.2019,Wisła K.
Erik Exposito,Śląsk Wrocław,napastnik,478,5,25.06.2020,Cracovia
Luquinhas,Legia Warszawa,pomocnik,471,6,10.06.2020,Arka
David Tijanić,Raków Częstochowa,pomocnik,465,5,20.06.2020,Wisła K.
Mateusz Cholewiak,Legia Warszawa,pomocnik,464,7,10.06.2020,Arka
Dominik Steczyk,Piast Gliwice,napastnik,463,18,-,-
Filip Marković,Śląsk Wrocław,napastnik,453,7,14.06.2020,ŁKS
Torgil Gjertsen,Wisła Płock,pomocnik,436,5,07.03.2020,Arka
Arvydas Novikovas,Legia Warszawa,pomocnik,427,7,09.11.2019,Górnik Z.
Timur Żamaletdinow,Lech Poznań,napastnik,420,12,20.04.2019,Jagiellonia
Grzegorz Kuświk,Wisła Płock,napastnik,417,10,18.09.2019,Legia
Rok Sirk,Zagłębie Lubin,napastnik,409,13,-,-
Rafał Siemaszko,Arka Gdynia,napastnik,405,16,10.02.2019,Korona
Maciej Gajos,Lechia Gdańsk,pomocnik,397,5,14.06.2020,Pogoń
Giorgos Giakoumagis,Górnik Zabrze,napastnik,389,5,23.06.2020,ŁKS
Cillian Sheridan,Wisła Płock,napastnik,387,4,27.06.2020,ŁKS
Jakub Łabojko,Śląsk Wrocław,pomocnik,365,4,28.06.2020,Lech
Jakub Moder,Lech Poznań,pomocnik,353,4,28.06.2020,Śląsk
Pirulo,ŁKS Łódź,pomocnik,351,3,03.07.2020,Wisła K.
Przemysław Mystkowski,Jagiellonia Białystok,pomocnik,335,6,31.05.2020,Cracovia
Dariusz Pawłowski,Górnik Zabrze,napastnik,328,8,-,-
Miłosz Szczepański,Raków Częstochowa,pomocnik,318,3,22.02.2020,Arka
Tomasz Cywka,Lech Poznań,pomocnik,315,4,26.08.2018,Zagłębie L.
Antonio Dominguez,ŁKS Łódź,pomocnik,315,9,04.03.2020,Zagłębie L.
Patryk Tuszyński,Piast Gliwice,napastnik,313,10,30.05.2020,Wisła K.
Conrado,Lechia Gdańsk,pomocnik,310,7,07.03.2020,Zagłębie L.
Łukasz Zwoliński,Lechia Gdańsk,napastnik,297,4,28.06.2020,Jagiellonia
Jewgienij Baszkirow,Zagłębie Lubin,pomocnik,291,3,26.06.2020,Korona
Przemysław Sajdak,ŁKS Łódź,pomocnik,289,7,-,-
Pelle van Amersfoort,Cracovia,pomocnik,284,3,29.06.2020,Pogoń
Michał Rakoczy,Cracovia,pomocnik,275,8,16.09.2019,Piast
Adrian Łyszczarz,Śląsk Wrocław,pomocnik,275,15,-,-
Tomas Vestenicky,Cracovia,pomocnik,271,7,20.12.2019,Śląsk
Jakub Holubek,Piast Gliwice,pomocnik,265,5,-,-
Paweł Brożek,Wisła Kraków,napastnik,265,4,07.12.2019,Górnik Z.
Mikołaj Kwietniewski,Wisła Płock,pomocnik,264,8,04.10.2019,Arka
Bartosz Bida,Jagiellonia Białystok,napastnik,263,4,21.06.2020,Cracovia
