ZAWODNIK,KLUB,MIN BEZ GOLA,MECZE BEZ GOLA,OSTATNI GOL,OSTATNI GOL PRZECIW,MIN BEZ GOLA LUB ASYSTY,MECZE BEZ GOLA LUB ASYSTY,OSTATNI GOL LUB ASYSTA,OSTATNI GOL LUB ASYSTA PRZECIW
Artur Jędrzejczyk,Legia Warszawa,10003,116,10.02.2019,Wisła P,6002,71,22.08.2020,Raków
Benedikt Zech,Pogoń Szczecin,9601,111,-,-,1676,19,07.10.2022,Stal
Mateusz Cichocki,Radomiak Radom,9249,108,-,-,9249,108,-,-
Patryk Stępiński,Widzew Łódź,8807,111,-,-,250,2,13.05.2023,Górnik Z
Jakub Rzeźniczak,Wisła Płock,5907,70,23.10.2020,Piast,2658,32,06.03.2022,Górnik Ł
Mariusz Malec,Pogoń Szczecin,5868,79,15.02.2019,Górnik Z,2262,32,13.02.2022,Zagłębie L
Aleks Ławniczak,Zagłębie Lubin,5475,65,25.09.2020,Wisła P,3555,44,06.08.2021,Górnik Ł
Rafał Pietrzak,Lechia Gdańsk,5172,75,19.12.2020,Cracovia,731,10,10.03.2023,Miedź
Luis Mata,Zagłębie Lubin,4797,64,-,-,942,15,17.07.2022,Widzew
Kristers Tobers,Lechia Gdańsk,4421,65,-,-,1750,25,31.07.2022,Widzew
Bojan Nastić,Jagiellonia Białystok,4170,54,20.03.2021,Lech,1490,18,14.08.2022,Raków
Marcin Flis,Stal Mielec,4170,47,18.10.2021,Zagłębie L,710,7,08.04.2023,Widzew
Damian Jakubik,Radomiak Radom,4115,50,-,-,290,3,30.04.2023,Śląsk
Wołodymyr Kostewycz,Warta Poznań,4098,48,05.10.2018,Górnik Z.,194,2,06.06.2020,Zagłębie L
Joel Pereira,Lech Poznań,4091,59,-,-,670,8,19.03.2022,Widzew
Mariusz Pawelec,Śląsk Wrocław,4089,52,19.05.2017,Arka,2321,32,09.12.2017,Piast
Jakub Kiełb,Warta Poznań,3885,57,30.01.2021,Cracovia,832,16,30.07.2022,Miedź
Alexandros Katranis,Piast Gliwice,3791,49,-,-,1407,17,29.10.2022,Korona
Hubert Matynia,Miedź Legnica,3641,53,30.11.2019,Arka,165,5,19.02.2023,Wisła P
Zoran Arsenić,Raków Częstochowa,3493,41,18.12.2021,Jagiellonia,1272,16,05.11.2022,Wisła P
Paweł Stolarski,Pogoń Szczecin,3466,57,27.04.2019,Lechia,1247,26,03.10.2021,Górnik Ł
David Stec,Lechia Gdańsk,3380,45,08.12.2019,Piast,1357,18,18.04.2022,Górnik Z
Pedro Rebocho,Lech Poznań,3331,39,17.09.2021,Wisła K,561,7,03.03.2023,Lechia
Victor Garcia,Śląsk Wrocław,3262,47,11.09.2021,Legia,426,6,10.03.2023,Raków
Krystian Getinger,Stal Mielec,3196,36,30.04.2022,Legia,2771,32,25.07.2022,Radomiak
Ariel Mosór,Piast Gliwice,3190,37,12.03.2022,Lechia,709,8,19.03.2023,Miedź
Paweł Jaroszyński,Cracovia,3069,45,05.12.2015,Piast,322,3,22.04.2023,Lechia
Kryspin Szcześniak,Górnik Zabrze,2983,38,-,-,2983,38,-,-
Michal Siplak,Cracovia,2976,47,03.04.2021,Lech,868,15,03.09.2022,Raków
Konrad Matuszewski,Warta Poznań,2923,41,13.12.2021,Śląsk,517,6,14.04.2023,Śląsk
Leandro,Stal Mielec,2908,44,16.05.2017,Cracovia,44,3,17.04.2023,Miedź
Diogo Verdasca,Śląsk Wrocław,2833,35,23.10.2021,Wisła K,124,1,05.05.2023,Jagiellonia
Tomasz Mokwa,Piast Gliwice,2790,41,15.10.2016,Ruch,2696,39,28.10.2016,Bruk-Bet
Konrad Poprawa,Śląsk Wrocław,2779,35,20.04.2021,Podbeskidzie,1692,20,10.09.2022,Lechia
Cornel Rapa,Cracovia,2734,38,11.02.2022,Lechia,2734,38,11.02.2022,Lechia
Serafin Szota,Widzew Łódź,2571,31,20.11.2021,Jagiellonia,1709,19,21.10.2022,Miedź
Kamil Kościelny,Warta Poznań,2564,43,26.06.2020,Arka,1193,27,13.12.2020,Lech
Paweł Olszewski,Jagiellonia Białystok,2562,43,-,-,1703,32,05.12.2020,Warta
Piotr Tomasik,Wisła Płock,2494,30,25.04.2022,Wisła K,1835,22,13.08.2022,Pogoń
Kostas Triantafyllopoulos,Pogoń Szczecin,2410,32,04.03.2022,Radomiak,1310,20,13.08.2022,Wisła P
Mateusz Żyro,Widzew Łódź,2368,32,08.05.2022,Lechia,2368,32,08.05.2022,Lechia
Steve Kapuadi,Wisła Płock,2331,26,-,-,2331,26,-,-
Jakub Czerwiński,Piast Gliwice,2308,26,05.09.2022,Miedź,190,2,12.05.2023,Korona
Dawid Szymonowicz,Warta Poznań,2294,26,28.08.2022,Cracovia,2294,26,28.08.2022,Cracovia
Levent Gulen,Miedź Legnica,2231,26,-,-,2231,26,-,-
Erik Janza,Górnik Zabrze,2224,24,10.09.2022,Piast,90,1,20.05.2023,Pogoń
Israel Puerto,Jagiellonia Białystok,2167,27,13.05.2022,Legia,164,1,20.05.2023,Cracovia
Milan Rundić,Raków Częstochowa,2164,32,03.10.2021,Warta,237,3,10.03.2023,Śląsk
Adam Chrzanowski,Wisła Płock,2114,29,25.08.2018,Pogoń,1771,22,04.04.2022,Górnik Z
Daniel Leo Gretarsson,Śląsk Wrocław,2080,26,24.07.2022,Pogoń,1221,15,23.10.2022,Jagiellonia
Barry Douglas,Lech Poznań,2057,27,13.08.2021,Bruk-Bet,1511,20,05.12.2021,Zagłębie L
Martin Konczkowski,Śląsk Wrocław,2039,26,29.04.2022,Warta,793,8,18.03.2023,Stal
Bartłomiej Kłudka,Zagłębie Lubin,1990,28,-,-,1287,15,28.01.2023,Śląsk
Miłosz Trojak,Korona Kielce,1886,21,09.10.2022,Zagłębie L,1357,15,29.01.2023,Legia
