ZAWODNIK,KLUB,POZYCJA,MIN BEZ GOLA,MECZE BEZ GOLA,OSTATNI GOL,OSTATNI GOL PRZECIW,MIN BEZ GOLA LUB ASYSTY,MECZE BEZ GOLA LUB ASYSTY,OSTATNI GOL LUB ASYSTA,OSTATNI GOL LUB ASYSTA PRZECIW
Marek Hanousek,Widzew Łódź,pomocnik,4034,48,16.10.2022,Zagłębie L,1151,15,18.11.2023,Ruch
Tom Hateley,Piast Gliwice,pomocnik,4030,69,14.06.2020,Jagiellonia,2188,44,23.04.2022,Jagiellonia
Ben Lederman,Raków Częstochowa,pomocnik,3632,61,04.12.2021,Lechia,566,10,05.11.2023,Zagłębie L
Michał Kaput,Radomiak Radom,pomocnik,3611,68,-,-,1547,28,24.10.2022,Radomiak
Patrick Olsen,Śląsk Wrocław,pomocnik,3263,42,29.10.2022,Wisła P,1146,14,28.10.2023,Ruch
Daniel Łukasik,Śląsk Wrocław,pomocnik,3084,51,16.08.2019,Zagłębie S,474,16,15.05.2022,Wisła K
Luizao,Radomiak Radom,pomocnik,3076,47,-,-,3076,47,-,-
Bartosz Szeliga,ŁKS Łódź,pomocnik,3049,46,23.09.2017,Lechia,220,4,27.04.2024,Górnik Z
Niilo Maenpaa,Warta Poznań,pomocnik,2951,67,-,-,218,2,22.04.2024,Stal
Filip Starzyński,Ruch Chorzów,pomocnik,2820,47,01.10.2022,Górnik Z,1081,18,01.09.2023,Stal
Jacek Podgórski,Korona Kielce,pomocnik,2685,45,06.11.2022,Lech,94,1,18.05.2024,Ruch
Jakub Serafin,Puszcza Niepołomice,pomocnik,2644,37,-,-,480,5,13.04.2024,Lech
Michał Mokrzycki,ŁKS Łódź,pomocnik,2619,33,-,-,294,3,14.04.2024,Radomiak
Walerian Gwilia,Piast Gliwice,pomocnik,2541,53,11.07.2020,Cracovia,1752,36,02.11.2020,Warta
Takuto Oshima,Cracovia,pomocnik,2534,36,02.04.2023,Widzew,1639,24,11.08.2023,Zagłębie L
Peter Pokorny,Śląsk Wrocław,pomocnik,2354,27,-,-,1537,17,21.10.2023,Legia
Dalibor Takac,Korona Kielce,pomocnik,2260,49,-,-,2022,44,27.08.2022,Radomiak
Leandro Rossi,Radomiak Radom,pomocnik,2198,50,14.12.2021,Piast,93,3,28.04.2024,Zagłębie L
Maciej Domański,Stal Mielec,pomocnik,2139,24,23.09.2023,Lech,212,2,04.05.2024,Jagiellonia
Jurgen Elitim,Legia Warszawa,pomocnik,2047,25,27.09.2023,Pogoń,678,7,01.04.2024,Górnik Z
Konrad Stępień,Puszcza Niepołomice,pomocnik,2031,27,-,-,1359,18,06.10.2023,Lech
Arkadiusz Woźniak,Zagłębie Lubin,pomocnik,1960,57,12.05.2017,Piast,941,40,29.10.2017,Jagiellonia
Roberto Alves,Radomiak Radom,pomocnik,1903,25,24.10.2022,Piast,923,12,24.04.2023,Lech
Damian Dąbrowski,Zagłębie Lubin,pomocnik,1879,21,29.10.2023,Radomiak,14,0,25.05.2024,Legia
Jurgen Celhaka,Legia Warszawa,pomocnik,1757,41,-,-,1757,41,-,-
Marcel Pięczek,Korona Kielce,pomocnik,1747,25,-,-,698,7,17.03.2024,Pogoń
Tomasz Pieńko,Zagłębie Lubin,pomocnik,1713,32,27.05.2023,Raków,878,17,24.11.2023,ŁKS
Patryk Sokołowski,Cracovia,pomocnik,1660,34,06.05.2022,Górnik Z,1660,34,06.05.2022,Górnik Z
Jean Carlos Silva,Raków Częstochowa,pomocnik,1599,22,29.10.2023,Widzew,1599,22,29.10.2023,Widzew
Joao Gamboa,Pogoń Szczecin,pomocnik,1555,29,-,-,54,2,26.04.2024,Jagiellonia
Mateusz Bochnak,Cracovia,pomocnik,1448,31,08.04.2023,Pogoń,1448,31,08.04.2023,Pogoń
Juljan Shehu,Widzew Łódź,pomocnik,1448,33,-,-,513,8,23.07.2023,Puszcza
Michał Kopczyński,Warta Poznań,pomocnik,1427,30,15.08.2022,Korona,1427,30,15.08.2022,Korona
Miguel Luis,Warta Poznań,pomocnik,1410,21,15.08.2023,Stal,482,7,06.04.2024,Śląsk
Daniel Pik,Radomiak Radom,pomocnik,1405,49,-,-,1405,49,-,-
Wiktor Długosz,Ruch Chorzów,pomocnik,1391,45,25.07.2021,Piast,410,15,28.04.2023,Lechia
Miłosz Szczepański,Piast Gliwice,pomocnik,1374,31,14.04.2023,Śląsk,254,3,05.05.2024,Korona
Afonso Sousa,Lech Poznań,pomocnik,1338,20,16.04.2023,Legia,766,12,17.09.2023,Warta
Michał Chrapek,Piast Gliwice,pomocnik,1311,22,02.09.2023,Radomiak,1311,22,02.09.2023,Radomiak
Jesper Karlstrom,Lech Poznań,pomocnik,1307,16,26.11.2023,Widzew,30,0,25.05.2024,Korona
Tomasz Makowski,Zagłębie Lubin,pomocnik,1217,24,24.09.2023,Warta,299,3,04.05.2024,Raków
Christos Donis,Radomiak Radom,pomocnik,1176,22,19.08.2023,Warta,583,14,29.10.2023,Zagłębie L
Kajetan Szmyt,Warta Poznań,pomocnik,1159,14,11.02.2024,Raków,348,3,05.05.2024,Widzew
Yoav Hofmeister,Korona Kielce,pomocnik,1131,13,12.02.2024,ŁKS,1131,13,12.02.2024,ŁKS
Hubert Tomalski,Puszcza Niepołomice,pomocnik,1128,21,-,-,1128,21,-,-
Tomasz Foszmańczyk,Ruch Chorzów,pomocnik,1125,29,20.11.2015,Piast,761,22,02.03.2016,Legia
Radosław Murawski,Lech Poznań,pomocnik,1111,13,10.02.2024,Zagłębie L,1111,13,10.02.2024,Zagłębie L
Dawid Drachal,Raków Częstochowa,pomocnik,1105,22,24.09.2023,Ruch,479,7,30.03.2024,Ruch
Petteri Forsell,Korona Kielce,pomocnik,1097,22,21.11.2020,Zagłębie L,265,6,01.05.2021,Lech
Piotr Wlazło,Stal Mielec,pomocnik,1070,12,09.02.2024,Puszcza,742,8,10.03.2024,Ruch
Rafał Wolski,Radomiak Radom,pomocnik,1062,15,02.12.2023,Widzew,152,3,05.05.2024,Legia
Serhij Bułeca,Zagłębie Lubin,pomocnik,1034,20,02.10.2023,Górnik Z,445,11,15.12.2023,Śląsk
John Yeboah,Raków Częstochowa,napastnik,1032,20,05.11.2023,Zagłębie L,182,2,11.05.2024,Pogoń
Dario Vizinger,Warta Poznań,napastnik,1030,24,19.08.2023,Radomiak,358,10,11.02.2024,Raków
Damian Rasak,Górnik Zabrze,pomocnik,1018,11,02.03.2024,Jagiellonia,563,6,14.04.2024,Śląsk
Koki Hinokio,Stal Mielec,pomocnik,985,19,29.10.2023,Legia,2,0,25.05.2024,ŁKS
Tihomir Kostadinov,Piast Gliwice,pomocnik,958,23,-,-,101,2,10.05.2024,ŁKS
Filip Szymczak,Lech Poznań,napastnik,928,12,17.02.2024,Jagiellonia,69,0,19.05.2024,Widzew
Juliusz Letniowski,Ruch Chorzów,pomocnik,923,12,08.12.2023,Zagłębie L,923,12,08.12.2023,Zagłębie L
Piotr Mroziński,Puszcza Niepołomice,pomocnik,878,10,26.11.2023,Górnik Z,878,10,26.11.2023,Górnik Z
Lukas Podolski,Górnik Zabrze,napastnik,876,11,10.02.2024,Piast,134,1,17.05.2024,Puszcza
Matthew Guillaumier,Stal Mielec,pomocnik,841,10,10.03.2024,Ruch,841,10,10.03.2024,Ruch
Morten Eppel,Warta Poznań,pomocnik,830,16,25.11.2023,Legia,830,16,25.11.2023,Legia
Bruno Jordao,Radomiak Radom,pomocnik,812,13,-,-,276,3,05.05.2024,Legia
Ryoya Morishita,Legia Warszawa,pomocnik,810,13,-,-,810,13,-,-
Fredrik Ulvestad,Pogoń Szczecin,pomocnik,809,8,30.03.2024,Cracovia,809,8,30.03.2024,Cracovia
Tiago Matos,Radomiak Radom,pomocnik,799,22,02.10.2021,Bruk-Bet,799,22,02.10.2021,Bruk-Bet
Adriel Ba Loua,Lech Poznań,pomocnik,790,16,24.10.2023,Jagiellonia,446,10,10.02.2024,Zagłębie L
Francisco Ramos,Radomiak Radom,pomocnik,784,9,-,-,784,9,-,-
Maciej Żurawski,Warta Poznań,pomocnik,779,13,08.12.2023,Pogoń,779,13,08.12.2023,Pogoń
Krzysztof Wołkowicz,Stal Mielec,pomocnik,769,17,29.10.2023,Legia,769,17,29.10.2023,Legia
Dawid Tkacz,Widzew Łódź,pomocnik,766,22,-,-,766,22,-,-
Mathias Hebo Rasmussen,Cracovia,pomocnik,760,10,23.07.2022,Korona,324,4,03.09.2022,Raków
Lee Jin-hyun,Puszcza Niepołomice,pomocnik,749,13,-,-,101,1,17.05.2024,Górnik Z
Patryk Klimala,Śląsk Wrocław,napastnik,743,13,24.11.2019,Arka,4,0,27.04.2024,Ruch
Paweł Wszołek,Legia Warszawa,pomocnik,733,8,02.03.2024,Pogoń,135,1,12.05.2024,Lech
Karol Knap,Cracovia,pomocnik,728,14,09.12.2023,Stal,126,2,03.05.2024,Górnik Z
Dino Hotić,Lech Poznań,pomocnik,714,16,-,-,511,11,02.09.2023,Górnik Z
Patryk Dziczek,Piast Gliwice,pomocnik,713,8,30.03.2024,Śląsk,713,8,30.03.2024,Śląsk
Dominik Marczuk,Jagiellonia Białystok,pomocnik,710,8,30.03.2024,ŁKS,60,0,25.05.2024,Warta
Srdan Plavsić,Raków Częstochowa,pomocnik,684,12,24.09.2023,Ruch,11,0,17.02.2024,Ruch
Aurelien Nguiamba,Jagiellonia Białystok,pomocnik,675,20,-,-,675,20,-,-
Husein Balić,ŁKS Łódź,pomocnik,647,8,03.03.2024,Puszcza,647,8,03.03.2024,Puszcza
Alexander Gorgon,Pogoń Szczecin,pomocnik,631,8,17.03.2024,Korona,196,2,11.05.2024,Raków
Ali Gholizadeh,Lech Poznań,pomocnik,628,10,-,-,628,10,-,-
Bartosz Nowak,Raków Częstochowa,pomocnik,623,12,03.03.2024,Lech,623,12,03.03.2024,Lech
Maciej Śliwa,ŁKS Łódź,pomocnik,607,21,17.07.2022,Radomiak,607,21,17.07.2022,Radomiak
Patryk Kun,Legia Warszawa,pomocnik,605,10,17.12.2023,Cracovia,605,10,17.12.2023,Cracovia
Jakub Letniowski,ŁKS Łódź,pomocnik,592,14,-,-,592,14,-,-
Gustav Berggren,Raków Częstochowa,pomocnik,581,8,03.03.2024,Lech,581,8,03.03.2024,Lech
Tomasz Kupisz,Jagiellonia Białystok,pomocnik,577,33,11.02.2023,Pogoń,17,5,30.03.2024,ŁKS
Petr Schwarz,Śląsk Wrocław,pomocnik,577,7,30.03.2024,Piast,119,1,18.05.2024,Radomiak
Robert Dadok,Ruch Chorzów,pomocnik,571,6,01.03.2024,Piast,571,6,01.03.2024,Piast
Maciej Firlej,Puszcza Niepołomice,napastnik,568,9,-,-,220,5,09.02.2024,Stal
Jose Naranjo,Jagiellonia Białystok,pomocnik,556,12,10.12.2023,Raków,259,7,02.03.2024,Górnik Z
Artur Siemaszko,Puszcza Niepołomice,napastnik,551,11,16.12.2023,Jagiellonia,28,0,25.05.2024,Piast
Ernest Terpiłowski,Widzew Łódź,napastnik,551,14,04.08.2023,Jagiellonia,551,14,04.08.2023,Jagiellonia
Bartosz Kwiecień,Korona Kielce,pomocnik,550,6,06.04.2024,Stal,550,6,06.04.2024,Stal
Mateusz Stępień,Stal Mielec,pomocnik,538,24,-,-,538,24,-,-
Efthymis Koulouris,Pogoń Szczecin,napastnik,535,6,12.04.2024,Ruch,14,0,25.05.2024,Górnik Z
Igor Strzałek,Stal Mielec,pomocnik,523,16,24.09.2023,Górnik Z,60,1,11.05.2024,Górnik Z
Luka Zahović,Pogoń Szczecin,napastnik,508,17,30.07.2023,Widzew,68,4,08.12.2023,Warta
Tomas Prikryl,Warta Poznań,pomocnik,508,9,01.03.2024,Cracovia,194,3,22.04.2024,Stal
Fredrik Krogstad,Korona Kielce,pomocnik,507,7,-,-,507,7,-,-
Rafał Adamski,Zagłębie Lubin,napastnik,507,10,09.10.2022,Korona,507,10,09.10.2022,Korona
Serhij Krykun,Piast Gliwice,pomocnik,501,15,29.09.2023,Widzew,51,2,10.05.2024,ŁKS
Thiago,Puszcza Niepołomice,pomocnik,491,14,09.04.2021,Jagiellonia,491,14,09.04.2021,Jagiellonia
Nika Kwekweskiri,Lech Poznań,pomocnik,483,13,16.12.2023,Radomiak,50,2,12.05.2024,Legia
Piotr Janczukowicz,ŁKS Łódź,napastnik,481,9,11.03.2024,Warta,224,5,14.04.2024,Radomiak
Mikkel Maigaard,Cracovia,pomocnik,474,14,-,-,346,10,09.03.2024,Korona
Dawid Błanik,Korona Kielce,pomocnik,474,8,17.03.2024,Pogoń,237,4,19.04.2024,Radomiak
Gil Dias,Legia Warszawa,pomocnik,474,17,-,-,474,17,-,-
Patryk Sikora,Ruch Chorzów,pomocnik,469,5,01.03.2024,Piast,469,5,01.03.2024,Piast
Rafał Kurzawa,Pogoń Szczecin,pomocnik,466,5,23.02.2024,ŁKS,466,5,23.02.2024,ŁKS
Mariusz Fornalczyk,Korona Kielce,pomocnik,452,12,08.12.2023,Warta,452,12,08.12.2023,Warta
Mateusz Czyżycki,Korona Kielce,pomocnik,446,8,22.09.2023,Widzew,345,7,29.09.2023,Stal
Antoni Młynarczyk,ŁKS Łódź,pomocnik,441,13,23.02.2024,Pogoń,28,0,25.05.2024,Stal
Jakub Konstantyn,Korona Kielce,pomocnik,438,16,29.09.2023,Stal,135,3,01.04.2024,Widzew
Wahan Biczachczjan,Pogoń Szczecin,pomocnik,438,8,30.03.2024,Cracovia,244,4,26.04.2024,Jagiellonia
Adrian Przyborek,Pogoń Szczecin,pomocnik,436,6,12.04.2024,Ruch,252,3,06.05.2024,Puszcza
Antoni Klimek,Widzew Łódź,pomocnik,431,8,01.04.2024,Korona,17,0,25.05.2024,Radomiak
Wojciech Hajda,Puszcza Niepołomice,pomocnik,425,5,21.04.2024,Cracovia,425,5,21.04.2024,Cracovia
